NAME,0.0,1.0S,10.0S,1.0MI,10.0MI,1.0HR,10.0HR,1.0D,10.0D,50.0D,100.0D,142.0D
SR-101,0.000e+00,7.245e-11,7.739e-11,7.739e-11,7.739e-11,7.738e-11,7.735e-11,7.733e-11,7.631e-11,7.222e-11,7.003e-11,7.056e-11
SR-102,0.000e+00,7.319e-12,9.014e-12,9.014e-12,9.014e-12,9.013e-12,9.010e-12,9.009e-12,8.902e-12,8.486e-12,8.331e-12,8.521e-12
SR-103,0.000e+00,7.772e-14,7.824e-14,7.824e-14,7.824e-14,7.824e-14,7.822e-14,7.821e-14,7.739e-14,7.435e-14,7.409e-14,7.729e-14
SR-104,0.000e+00,2.390e-15,2.457e-15,2.457e-15,2.457e-15,2.457e-15,2.457e-15,2.457e-15,2.445e-15,2.415e-15,2.532e-15,2.806e-15
SR-84,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
SR-85,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
SR-85M,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
SR-86,0.000e+00,1.412e-15,1.415e-14,8.619e-14,1.125e-12,1.697e-11,1.267e-09,7.295e-09,1.119e-06,6.052e-05,3.472e-04,8.444e-04
SR-87,0.000e+00,1.505e-13,1.505e-12,9.036e-12,9.095e-11,5.639e-10,6.640e-09,1.688e-08,1.776e-07,9.901e-07,2.486e-06,4.742e-06
SR-87M,0.000e+00,5.413e-14,5.412e-13,3.241e-12,3.182e-11,1.727e-10,7.221e-10,7.870e-10,8.261e-10,1.139e-09,2.018e-09,3.657e-09
SR-88,0.000e+00,6.135e-12,1.140e-10,2.590e-09,4.713e-07,4.387e-05,4.616e-03,1.504e-02,1.756e-01,8.818e-01,1.747e+00,2.458e+00
SR-89,0.000e+00,1.518e-10,1.935e-09,4.543e-08,1.575e-05,6.160e-04,9.381e-03,2.300e-02,2.194e-01,8.386e-01,1.237e+00,1.400e+00
SR-90,0.000e+00,1.741e-09,3.133e-08,1.099e-06,1.190e-04,1.095e-03,1.177e-02,2.838e-02,2.840e-01,1.406e+00,2.776e+00,3.898e+00
SR-91,0.000e+00,1.453e-08,2.366e-07,5.370e-06,1.744e-04,1.154e-03,8.682e-03,1.387e-02,1.654e-02,1.554e-02,1.481e-02,1.454e-02
SR-92,0.000e+00,8.432e-08,1.928e-06,1.908e-05,2.052e-04,1.118e-03,4.577e-03,4.950e-03,4.888e-03,4.600e-03,4.391e-03,4.320e-03
SR-93,0.000e+00,1.726e-07,2.496e-06,2.008e-05,1.474e-04,2.449e-04,2.461e-04,2.460e-04,2.426e-04,2.287e-04,2.190e-04,2.160e-04
SR-94,0.000e+00,2.670e-07,3.069e-06,1.610e-05,3.846e-05,3.869e-05,3.867e-05,3.866e-05,3.812e-05,3.597e-05,3.447e-05,3.404e-05
SR-95,0.000e+00,3.033e-07,2.905e-06,9.899e-06,1.241e-05,1.241e-05,1.241e-05,1.240e-05,1.223e-05,1.153e-05,1.104e-05,1.090e-05
SR-96,0.000e+00,2.105e-07,1.104e-06,1.342e-06,1.342e-06,1.341e-06,1.341e-06,1.340e-06,1.321e-06,1.244e-06,1.190e-06,1.175e-06
SR-97,0.000e+00,3.397e-08,3.512e-08,3.512e-08,3.512e-08,3.511e-08,3.510e-08,3.508e-08,3.457e-08,3.252e-08,3.108e-08,3.069e-08
SR-98,0.000e+00,3.081e-08,5.533e-08,5.531e-08,5.531e-08,5.531e-08,5.528e-08,5.526e-08,5.445e-08,5.118e-08,4.893e-08,4.838e-08
SR-99,0.000e+00,5.884e-09,8.287e-09,8.287e-09,8.287e-09,8.287e-09,8.282e-09,8.280e-09,8.162e-09,7.686e-09,7.381e-09,7.347e-09
Y-100,0.000e+00,3.690e-08,6.276e-08,6.275e-08,6.275e-08,6.274e-08,6.271e-08,6.269e-08,6.179e-08,5.822e-08,5.583e-08,5.539e-08
Y-101,0.000e+00,1.298e-08,2.559e-08,2.561e-08,2.561e-08,2.561e-08,2.560e-08,2.559e-08,2.522e-08,2.372e-08,2.272e-08,2.254e-08
Y-102,0.000e+00,1.340e-09,1.457e-09,1.457e-09,1.457e-09,1.457e-09,1.456e-09,1.456e-09,1.435e-09,1.354e-09,1.304e-09,1.305e-09
Y-103,0.000e+00,1.733e-10,2.040e-10,2.040e-10,2.040e-10,2.040e-10,2.039e-10,2.039e-10,2.013e-10,1.911e-10,1.866e-10,1.900e-10
Y-104,0.000e+00,4.229e-12,4.264e-12,4.264e-12,4.264e-12,4.264e-12,4.262e-12,4.262e-12,4.217e-12,4.056e-12,4.079e-12,4.332e-12
Y-105,0.000e+00,4.350e-13,4.432e-13,4.432e-13,4.432e-13,4.431e-13,4.429e-13,4.429e-13,4.368e-13,4.133e-13,4.030e-13,4.118e-13
Y-106,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
Y-107,0.000e+00,3.966e-16,3.972e-16,3.972e-16,3.971e-16,3.971e-16,3.969e-16,3.968e-16,3.905e-16,3.645e-16,3.453e-16,3.386e-16
Y-89,0.000e+00,2.113e-14,2.393e-13,2.005e-12,4.509e-10,1.390e-07,2.688e-05,1.583e-04,1.547e-02,3.271e-01,1.067e+00,1.840e+00
Y-89M,0.000e+00,1.568e-14,1.302e-13,3.434e-13,3.713e-13,3.713e-13,3.711e-13,3.713e-13,3.847e-13,4.631e-13,5.597e-13,6.530e-13
Y-90,0.000e+00,1.317e-11,1.317e-10,7.902e-10,7.924e-09,4.890e-08,6.182e-07,1.897e-06,5.048e-05,3.683e-04,7.429e-04,1.069e-03
Y-90M,0.000e+00,7.043e-13,7.041e-12,4.218e-11,4.148e-10,2.272e-09,1.013e-08,1.129e-08,1.154e-08,1.309e-08,1.571e-08,1.882e-08
Y-91,0.000e+00,3.834e-11,3.915e-10,3.278e-09,4.422e-07,2.366e-05,3.337e-03,1.532e-02,2.612e-01,1.082e+00,1.663e+00,1.928e+00
Y-91M,0.000e+00,1.578e-11,1.685e-10,2.270e-09,5.340e-07,1.906e-05,4.422e-04,7.169e-04,8.369e-04,7.864e-04,7.493e-04,7.357e-04
Y-92,0.000e+00,5.904e-10,6.434e-09,7.584e-08,4.704e-06,1.416e-04,4.229e-03,6.286e-03,6.394e-03,6.020e-03,5.750e-03,5.659e-03
Y-93,0.000e+00,5.904e-09,7.508e-08,1.231e-06,8.158e-05,1.107e-03,9.855e-03,1.618e-02,1.990e-02,1.877e-02,1.798e-02,1.775e-02
Y-94,0.000e+00,2.222e-08,3.460e-07,6.013e-06,1.602e-04,5.350e-04,6.210e-04,6.208e-04,6.122e-04,5.786e-04,5.555e-04,5.495e-04
Y-95,0.000e+00,6.136e-08,9.738e-07,1.305e-05,1.617e-04,3.428e-04,3.528e-04,3.527e-04,3.479e-04,3.293e-04,3.167e-04,3.140e-04
Y-96,0.000e+00,1.550e-07,2.531e-06,1.802e-05,6.946e-05,7.350e-05,7.346e-05,7.344e-05,7.244e-05,6.856e-05,6.596e-05,6.542e-05
Y-97,0.000e+00,2.127e-07,5.042e-07,5.052e-07,5.052e-07,5.052e-07,5.049e-07,5.048e-07,4.979e-07,4.712e-07,4.534e-07,4.500e-07
Y-98,0.000e+00,7.878e-08,9.892e-08,9.891e-08,9.891e-08,9.890e-08,9.885e-08,9.882e-08,9.745e-08,9.206e-08,8.844e-08,8.772e-08
Y-99,0.000e+00,8.288e-08,1.493e-07,1.492e-07,1.492e-07,1.492e-07,1.491e-07,1.491e-07,1.470e-07,1.386e-07,1.330e-07,1.319e-07
ZR-100,0.000e+00,2.904e-07,2.189e-06,3.487e-06,3.510e-06,3.509e-06,3.508e-06,3.506e-06,3.461e-06,3.288e-06,3.179e-06,3.172e-06
